"Device","Part Number","Package Type","Pins","Silicon","Package Description"
"10CL006","10CL006YE144 (RoHS6 G Suffix)","EQFP","144","Production","144-Pin EQFP - Wire Bond - A:1.65 - D2:6.70"
"10CL006","10CL006ZE144 (RoHS6 G Suffix)","EQFP","144","Production","144-Pin EQFP - Wire Bond - A:1.65 - D2:6.70"
"10CL006","10CL006YU256 (RoHS6 G Suffix)","UBGA","256","Production","256-Pin UBGA - Wire Bond - A:1.50"
"10CL006","10CL006ZU256 (RoHS6 G Suffix)","UBGA","256","Production","256-Pin UBGA - Wire Bond - A:1.50"
"10CL010","10CL010YE144 (RoHS6 G Suffix)","EQFP","144","Production","144-Pin EQFP - Wire Bond - A:1.65 - D2:6.70"
"10CL010","10CL010ZE144 (RoHS6 G Suffix)","EQFP","144","Production","144-Pin EQFP - Wire Bond - A:1.65 - D2:6.70"
"10CL010","10CL010YM164 (RoHS6 G Suffix)","MBGA","164","Production","164-Pin MBGA - Wire Bond - A:1.20"
"10CL010","10CL010ZM164 (RoHS6 G Suffix)","MBGA","164","Production","164-Pin MBGA - Wire Bond - A:1.20"
"10CL010","10CL010YU256 (RoHS6 G Suffix)","UBGA","256","Production","256-Pin UBGA - Wire Bond - A:1.50"
"10CL010","10CL010ZU256 (RoHS6 G Suffix)","UBGA","256","Production","256-Pin UBGA - Wire Bond - A:1.50"
"10CL016","10CL016YE144 (RoHS6 G Suffix)","EQFP","144","Production","144-Pin EQFP - Wire Bond - A:1.65 - D2:6.70"
"10CL016","10CL016ZE144 (RoHS6 G Suffix)","EQFP","144","Production","144-Pin EQFP - Wire Bond - A:1.65 - D2:6.70"
"10CL016","10CL016YM164 (RoHS6 G Suffix)","MBGA","164","Production","164-Pin MBGA - Wire Bond - A:1.20"
"10CL016","10CL016ZM164 (RoHS6 G Suffix)","MBGA","164","Production","164-Pin MBGA - Wire Bond - A:1.20"
"10CL016","10CL016YU256 (RoHS6 G Suffix)","UBGA","256","Production","256-Pin UBGA - Wire Bond - A:1.50"
"10CL016","10CL016ZU256 (RoHS6 G Suffix)","UBGA","256","Production","256-Pin UBGA - Wire Bond - A:1.50"
"10CL016","10CL016YF484 (RoHS6 G Suffix)","FBGA","484","Production","484-Pin FBGA - Wire Bond - A:2.40"
"10CL016","10CL016YU484 (RoHS6 G Suffix)","UBGA","484","Production","484-Pin UBGA - Wire Bond - A:2.05"
"10CL016","10CL016ZF484 (RoHS6 G Suffix)","FBGA","484","Production","484-Pin FBGA - Wire Bond - A:2.40"
"10CL016","10CL016ZU484 (RoHS6 G Suffix)","UBGA","484","Production","484-Pin UBGA - Wire Bond - A:2.05"
"10CL025","10CL025YE144 (RoHS6 G Suffix)","EQFP","144","Production","144-Pin EQFP - Wire Bond - A:1.65 - D2:6.70"
"10CL025","10CL025ZE144 (RoHS6 G Suffix)","EQFP","144","Production","144-Pin EQFP - Wire Bond - A:1.65 - D2:6.70"
"10CL025","10CL025YU256 (RoHS6 G Suffix)","UBGA","256","Production","256-Pin UBGA - Wire Bond - A:1.50"
"10CL025","10CL025ZU256 (RoHS6 G Suffix)","UBGA","256","Production","256-Pin UBGA - Wire Bond - A:1.50"
"10CL040","10CL040YF484 (RoHS6 G Suffix)","FBGA","484","Production","484-Pin FBGA - Wire Bond - A:2.40"
"10CL040","10CL040YU484 (RoHS6 G Suffix)","UBGA","484","Production","484-Pin UBGA - Wire Bond - A:2.05"
"10CL040","10CL040ZF484 (RoHS6 G Suffix)","FBGA","484","Production","484-Pin FBGA - Wire Bond - A:2.40"
